seed, Total QALY
387, 351850
1186, 355275
114, 465352
457, 323234
696, 315034
1164, 285756
112, 541118
980, 351012
887, 410843
576, 325084
634, 356761
133, 280676
675, 417640
857, 370418
686, 389739
15, 424193
293, 419449
853, 310575
981, 311032
1028, 382432
849, 345316
161, 352276
32, 360730
615, 238382
739, 283071
1091, 356157
1008, 315119
863, 385208
1231, 336836
660, 365090
186, 369746
795, 337573
1100, 301414
316, 426560
706, 343624
1150, 495349
194, 438031
656, 349746
900, 343908
84, 515625
520, 303775
369, 456720
820, 278188
381, 385631
560, 424887
861, 454799
761, 436515
625, 428734
665, 438363
528, 329034
530, 378762
481, 365209
138, 347916
967, 409462
723, 319204
579, 377668
335, 405405
890, 354969
944, 386985
549, 290706
1175, 397224
359, 390538
817, 413441
731, 493147
178, 377258
11, 401327
852, 395506
1003, 459182
564, 351625
732, 379598
250, 300371
191, 358060
649, 403510
909, 319737
1083, 408348
368, 427441
1000, 312981
19, 413458
535, 296456
962, 319958
199, 440237
683, 260706
386, 464596
308, 577932
841, 359017
212, 351345
916, 331771
1228, 376258
1187, 301148
623, 390330
478, 361162
1049, 340714
824, 407636
871, 418996
1063, 387868
1194, 482206
694, 506724
1024, 392743
542, 390175
1050, 363688
262, 403886
195, 370268
600, 326075
966, 424947
37, 546984
544, 355649
714, 387720
498, 331262
883, 454287
193, 364492
608, 256489
197, 368103
771, 323816
808, 405361
48, 455563
1241, 376860
1174, 334190
1234, 354530
23, 355195
348, 428355
469, 315805
858, 345162
603, 324529
1237, 419303
1002, 477194
953, 381452
21, 444336
1181, 370626
707, 597684
496, 539403
1098, 498202
829, 340158
405, 349615
1204, 326526
31, 354695
646, 349922
928, 279817
253, 432244
289, 393882
154, 434742
830, 432658
1078, 335141
987, 403361
271, 306166
969, 408032
107, 347394
258, 570443
44, 387856
881, 263764
1025, 305085
86, 364411
574, 385415
594, 380010
223, 389681
1199, 334360
406, 453343
132, 406993
855, 404086
1211, 355705
839, 438206
636, 403344
746, 435438
859, 376436
417, 361986
819, 366176
537, 339590
1141, 369421
781, 351251
103, 393345
500, 403405
1075, 382389
506, 409180
1243, 382037
901, 386645
372, 319437
956, 345579
360, 371918
384, 436742
945, 341003
1205, 361546
524, 403591
885, 307754
1069, 368887
812, 411855
1, 279529
563, 340651
768, 323559
513, 382461
813, 334976
153, 454595
1184, 355387
1247, 339897
58, 489286
156, 377275
463, 398415
673, 394659
1202, 384041
1102, 428860
1185, 273128
421, 325543
1107, 313101
725, 336889
1048, 301958
767, 392680
835, 368326
577, 269798
678, 375876
1120, 352477
515, 359804
932, 376950
1088, 248563
477, 303320
1176, 339972
931, 310850
97, 314646
730, 379957
1245, 309357
172, 349107
751, 364914
1134, 313437
741, 390167
1135, 359797
1076, 343281
1016, 474256
677, 282419
689, 337775
298, 358307
180, 342012
176, 373667
572, 293030
75, 455802
785, 337093
1142, 411328
336, 352710
41, 591496
230, 311685
389, 413006
971, 428849
391, 446508
437, 394253
587, 310883
1012, 436304
1074, 349332
1224, 380034
585, 326791
460, 283030
345, 321497
215, 395104
736, 293636
137, 373847
668, 476730
433, 287201
260, 395260
561, 428879
748, 363620
617, 305025
762, 345944
491, 301418
1090, 408018
578, 374281
904, 362669
1035, 318462
801, 406700
787, 409580
898, 360305
267, 434015
976, 440429
580, 400513
487, 396734
1190, 432249
1079, 269652
803, 453966
1244, 383402
583, 373359
411, 378028
115, 464517
99, 304559
196, 350645
166, 390383
540, 339649
832, 298445
272, 428517
280, 411515
866, 449416
104, 367039
970, 311415
302, 369982
1222, 344592
206, 307485
20, 371219
275, 413774
672, 312152
999, 455703
67, 423750
425, 309961
1151, 327556
856, 417877
480, 380823
72, 355242
1144, 346412
1053, 354925
121, 353430
105, 388179
34, 337163
399, 359707
440, 364278
523, 326073
435, 305281
201, 491017
778, 409973
998, 379051
1137, 426849
1239, 408550
729, 288710
453, 451581
753, 354000
828, 400554
451, 405233
211, 519990
836, 335216
582, 348040
1061, 405534
361, 420085
519, 397757
328, 420516
908, 487763
518, 329944
1039, 394315
126, 305910
713, 350986
601, 357422
511, 299818
942, 308467
394, 334144
862, 328169
1057, 309306
783, 406314
983, 441066
843, 346585
567, 263180
1149, 359760
450, 383658
366, 373027
534, 302884
108, 405524
244, 392300
46, 308907
311, 277036
464, 285477
922, 434339
77, 404798
130, 324341
2, 445334
155, 373313
894, 458891
949, 466987
22, 283709
592, 388488
268, 385248
984, 416377
461, 364736
647, 296915
148, 403384
1158, 463360
159, 391737
810, 380366
654, 408965
1027, 395414
1115, 342643
502, 364884
1223, 327069
414, 426083
684, 374099
354, 393367
877, 403567
110, 309173
357, 342138
494, 418709
233, 307902
329, 351209
851, 336304
286, 324722
614, 366194
274, 360013
371, 423694
62, 475445
217, 330721
400, 336459
306, 347346
442, 334487
681, 451074
1248, 414801
892, 309293
664, 368492
720, 387876
218, 409101
772, 391168
