seed, Total QALY
387, 354770
1186, 357982
114, 469295
457, 327040
696, 318595
1164, 289734
112, 545922
980, 355348
887, 415170
576, 327386
634, 361142
133, 284176
675, 420819
857, 374456
686, 394494
15, 427603
293, 422967
853, 313921
981, 315425
1028, 386553
849, 349129
161, 355082
32, 365295
615, 240955
739, 286268
1091, 360117
1008, 319648
863, 388730
1231, 340249
660, 369655
186, 374015
795, 342168
1100, 305191
316, 430066
706, 348319
1150, 499275
194, 441786
656, 353987
900, 348080
84, 519429
520, 307958
369, 460951
820, 282422
381, 389936
560, 428254
861, 458105
761, 441078
625, 433584
665, 441541
528, 333356
530, 381425
481, 369633
138, 351488
967, 413907
723, 323183
579, 381475
335, 408515
890, 357650
944, 391453
549, 294537
1175, 400600
359, 394553
817, 417827
731, 497959
178, 381344
11, 404343
852, 398585
1003, 462911
564, 355281
732, 382572
250, 304056
191, 361955
649, 406093
909, 324696
1083, 411471
368, 430527
1000, 315577
19, 418239
535, 300274
962, 324700
199, 444352
683, 263613
386, 467192
308, 581362
841, 362631
212, 355277
916, 334718
1228, 380582
1187, 304729
623, 393319
478, 364081
1049, 345501
824, 411842
871, 423192
1063, 393353
1194, 487888
694, 509173
1024, 396406
542, 393808
1050, 366291
262, 408451
195, 374661
600, 328735
966, 428450
37, 551266
544, 358354
714, 392350
498, 334612
883, 457649
193, 369833
608, 260468
197, 371607
771, 327149
808, 408446
48, 459585
1241, 380099
1174, 337422
1234, 358850
23, 358247
348, 432621
469, 317958
858, 349147
603, 328130
1237, 423119
1002, 482188
953, 384313
21, 446805
1181, 374516
707, 601446
496, 544153
1098, 501744
829, 343067
405, 354527
1204, 329788
31, 358176
646, 352624
928, 282969
253, 436058
289, 396857
154, 436874
830, 436092
1078, 337115
987, 406132
271, 309844
969, 414352
107, 350422
258, 574564
44, 392021
881, 267292
1025, 308879
86, 368110
574, 390608
594, 383473
223, 392471
1199, 338616
406, 456523
132, 411046
855, 407057
1211, 359246
839, 441073
636, 407817
746, 439305
859, 382082
417, 365537
819, 370558
537, 342700
1141, 373554
781, 353649
103, 396387
500, 406984
1075, 386789
506, 415592
1243, 386339
901, 390201
372, 323061
956, 349424
360, 375907
384, 440924
945, 343996
1205, 367029
524, 408723
885, 311241
1069, 372915
812, 415679
1, 283052
563, 345000
768, 326923
513, 385842
813, 337910
153, 458461
1184, 358702
1247, 344619
58, 494167
156, 382350
463, 402256
673, 398351
1202, 389022
1102, 434451
1185, 276162
421, 329069
1107, 316811
725, 339539
1048, 305918
767, 396705
835, 371887
577, 273675
678, 380201
1120, 356453
515, 361926
932, 382750
1088, 252601
477, 307495
1176, 342992
931, 314754
97, 316988
730, 384282
1245, 312527
172, 352643
751, 368355
1134, 316246
741, 392506
1135, 363637
1076, 346031
1016, 479167
677, 285473
689, 341307
298, 361467
180, 345743
176, 377508
572, 297036
75, 459298
785, 341274
1142, 415317
336, 356483
41, 595864
230, 314495
389, 417243
971, 433075
391, 449578
437, 397984
587, 313994
1012, 440321
1074, 352945
1224, 384440
585, 330854
460, 286922
345, 325226
215, 399097
736, 296944
137, 376991
668, 482113
433, 290530
260, 399222
561, 431646
748, 367400
617, 308012
762, 349869
491, 304859
1090, 411268
578, 378198
904, 366146
1035, 321720
801, 410056
787, 412658
898, 364063
267, 437215
976, 443575
580, 403853
487, 400261
1190, 437049
1079, 273404
803, 457905
1244, 386397
583, 375535
411, 381998
115, 469069
99, 308536
196, 354408
166, 394820
540, 343395
832, 300882
272, 433260
280, 415135
866, 452137
104, 371588
970, 313953
302, 373364
1222, 348464
206, 312699
20, 374390
275, 417390
672, 315713
999, 459905
67, 426650
425, 313112
1151, 331760
856, 421570
480, 384227
72, 358610
1144, 350476
1053, 359398
121, 358435
105, 390775
34, 341599
399, 363524
440, 367912
523, 328969
435, 309563
201, 495067
778, 413249
998, 381284
1137, 430712
1239, 412939
729, 291681
453, 453927
753, 358917
828, 402622
451, 408504
211, 523253
836, 341205
582, 351769
1061, 408721
361, 422908
519, 401553
328, 424081
908, 491969
518, 332272
1039, 397232
126, 310095
713, 354155
601, 360083
511, 303523
942, 311631
394, 337358
862, 332107
1057, 312294
783, 411553
983, 445555
843, 350635
567, 266439
1149, 363433
450, 386822
366, 375765
534, 305488
108, 409175
244, 396433
46, 312445
311, 280556
464, 288768
922, 436888
77, 407806
130, 328432
2, 448710
155, 376251
894, 462637
949, 470398
22, 286746
592, 391700
268, 389368
984, 421011
461, 369098
647, 299808
148, 406791
1158, 467741
159, 396460
810, 383176
654, 413163
1027, 399041
1115, 347106
502, 368633
1223, 331273
414, 429754
684, 375511
354, 396716
877, 406540
110, 313496
357, 346305
494, 422011
233, 311575
329, 355649
851, 342593
286, 327345
614, 370194
274, 364373
371, 427288
62, 478034
217, 334388
400, 339073
306, 349256
442, 338305
681, 454932
1248, 418031
892, 311397
664, 372523
720, 391352
218, 413622
772, 393943
493, 477487
602, 446303
351, 399683
1148, 331264
134, 377957
860, 474176
1019, 355530
1160, 380201
28, 439167
1208, 276643
444, 382073
390, 460000
353, 364361
1192, 346637
794, 415825
745, 446182
456, 422438
722, 310877
988, 411728
1066, 384005
621, 265748
584, 307803
200, 300853
216, 387998
1161, 420360
209, 326977
676, 364172
93, 489846
1162, 373830
238, 426232
586, 348520
439, 324060
1191, 430159
1092, 506872
1084, 385852
1203, 410160
1055, 387156
738, 338715
618, 363707
162, 357827
543, 295450
744, 422141
259, 470154
505, 398182
699, 346552
119, 312046
54, 326896
222, 356221
669, 366311
192, 334723
896, 329315
816, 384060
173, 339583
30, 360603
710, 287657
712, 374800
1059, 316139
65, 375335
144, 332944
1032, 454300
51, 341746
332, 439397
619, 377171
488, 297343
430, 503420
575, 425867
1087, 382830
873, 363865
719, 426567
758, 382325
749, 333936
773, 258294
261, 336038
190, 469810
449, 399491
688, 406663
799, 328888
961, 471747
393, 353387
339, 420063
903, 365452
151, 339689
418, 424454
565, 272639
377, 511947
1195, 310513
96, 401077
