seed, Total QALY
387, 355201
1186, 358333
114, 469795
457, 327641
696, 318890
1164, 290182
112, 546353
980, 355764
887, 415832
576, 327933
634, 361520
133, 284671
675, 421397
857, 374923
686, 395181
15, 427981
293, 423369
853, 314465
981, 315922
1028, 387116
849, 349752
161, 355541
32, 365800
615, 241340
739, 286776
1091, 360672
1008, 320183
863, 389054
1231, 340737
660, 370017
186, 374529
795, 342707
1100, 305706
316, 430547
706, 348683
1150, 499919
194, 442349
656, 354530
900, 348648
84, 519805
520, 308482
369, 461559
820, 282778
381, 390369
560, 428717
861, 458694
761, 441643
625, 434005
665, 442009
528, 333747
530, 381695
481, 370028
138, 352004
967, 414446
723, 323690
579, 381961
335, 408835
890, 358065
944, 392104
549, 294865
1175, 401172
359, 395181
817, 418223
731, 498305
178, 381742
11, 404604
852, 398941
1003, 463252
564, 355698
732, 383094
250, 304591
191, 362422
649, 406673
909, 325441
1083, 411836
368, 430948
1000, 315902
19, 418603
535, 300599
962, 325230
199, 444995
683, 264066
386, 467721
308, 581932
841, 362985
212, 355787
916, 335240
1228, 381088
1187, 305123
623, 393700
478, 364478
1049, 345985
824, 412276
871, 423752
1063, 393839
1194, 488459
694, 509604
1024, 396842
542, 394083
1050, 366706
262, 409027
195, 375045
600, 329236
966, 428824
37, 551789
544, 359039
714, 392852
498, 335093
883, 457916
193, 370224
608, 261024
197, 372041
771, 327954
808, 408944
48, 459896
1241, 380523
1174, 338063
1234, 359385
23, 358780
348, 433194
469, 318434
858, 349682
603, 328473
1237, 423459
1002, 482867
953, 384717
21, 447124
1181, 374942
707, 602036
496, 544498
1098, 502253
829, 343585
405, 355101
1204, 330218
31, 358625
646, 352873
928, 283496
253, 436505
289, 397308
154, 437335
830, 436627
1078, 337596
987, 406622
271, 310030
969, 415638
107, 350951
258, 574968
44, 392438
881, 267777
1025, 309386
86, 368461
574, 391046
594, 383993
223, 392783
1199, 339240
406, 457051
132, 411496
855, 407509
1211, 359613
839, 441360
636, 408231
746, 439742
859, 382914
417, 365973
819, 371222
537, 343297
1141, 374160
781, 354179
103, 396910
500, 407467
1075, 387134
506, 416207
1243, 386979
901, 390662
372, 323237
956, 349942
360, 376529
384, 441367
945, 344363
1205, 367462
524, 409358
885, 311831
1069, 373698
812, 416159
1, 283666
563, 345549
768, 327462
513, 386412
813, 338389
153, 458870
1184, 359338
1247, 345196
58, 494569
156, 383002
463, 402655
673, 399133
1202, 389406
1102, 435320
1185, 276662
421, 329449
1107, 317191
725, 340128
1048, 306300
767, 397252
835, 372373
577, 274222
678, 380668
1120, 356745
515, 362499
932, 383321
1088, 253207
477, 308174
1176, 343393
931, 315254
97, 317402
730, 384813
1245, 312950
172, 353217
751, 368752
1134, 316707
741, 392848
1135, 364048
1076, 346526
1016, 479812
677, 286023
689, 341827
298, 361949
180, 346387
176, 378040
572, 297482
75, 459769
785, 341848
1142, 415793
336, 356993
41, 596503
230, 314939
389, 417737
971, 433619
391, 450071
437, 398528
587, 314238
1012, 440797
1074, 353480
1224, 384941
585, 331323
460, 287351
345, 325461
215, 399575
736, 297297
137, 377480
668, 482672
433, 290929
260, 399733
561, 432204
748, 367878
617, 308559
762, 350573
491, 305272
1090, 411663
578, 378944
904, 366907
1035, 322211
801, 410460
787, 413137
898, 364695
267, 437728
976, 444015
580, 404281
487, 400767
1190, 437457
1079, 273909
803, 458342
1244, 386825
583, 376048
411, 382367
115, 469736
99, 309069
196, 354864
166, 395509
540, 343846
832, 301394
272, 434030
280, 415492
866, 452589
104, 372020
970, 314284
302, 373847
1222, 348866
206, 313312
20, 374818
275, 417924
672, 316246
999, 460194
67, 427159
425, 313401
1151, 332312
856, 422002
480, 384677
72, 359092
1144, 351035
1053, 359929
121, 358767
105, 391163
34, 342249
399, 364133
440, 368292
523, 329389
435, 309848
201, 495693
778, 413540
998, 381587
1137, 431293
1239, 413358
729, 292106
453, 454399
753, 359463
828, 403046
451, 408961
211, 523532
836, 341738
582, 352261
1061, 409231
361, 423115
519, 402055
328, 424651
908, 492663
518, 332494
1039, 397684
126, 310497
713, 354609
601, 360492
511, 304001
942, 312101
394, 337910
862, 332534
1057, 312722
783, 412370
983, 446005
843, 351033
567, 266790
1149, 364026
450, 387135
366, 376183
534, 306032
108, 409717
244, 396953
46, 312827
311, 280903
464, 289180
922, 437412
77, 408279
130, 328729
2, 449270
155, 376868
894, 463030
949, 470779
22, 287201
592, 392204
268, 389981
984, 421736
461, 369532
647, 300295
148, 407362
1158, 468226
159, 396737
810, 383432
654, 413612
1027, 399386
1115, 347668
502, 369122
1223, 331727
414, 430229
684, 375874
354, 397183
877, 407155
110, 314177
357, 346847
494, 422506
233, 312151
329, 356212
851, 343394
286, 327803
614, 370577
274, 364989
371, 427760
62, 478304
217, 334831
400, 339334
306, 349873
442, 338677
681, 455341
1248, 418424
892, 311876
664, 373209
720, 391990
218, 414375
772, 394504
493, 477819
602, 446962
351, 399993
1148, 331603
134, 378341
860, 474578
1019, 356074
1160, 380763
28, 439660
1208, 276992
444, 382572
390, 460594
353, 365114
1192, 347144
794, 416400
745, 446832
456, 423124
722, 311155
988, 412305
1066, 384413
621, 266317
584, 308368
200, 301392
216, 388462
1161, 421114
209, 327355
676, 364485
93, 490168
1162, 374256
238, 426707
586, 349033
439, 324613
1191, 430569
1092, 507386
1084, 386384
1203, 410561
1055, 387646
738, 339367
618, 364221
162, 358132
543, 295753
744, 422725
259, 470688
505, 398478
699, 347252
119, 312428
54, 327323
222, 356905
669, 366772
192, 335205
896, 329862
816, 384776
173, 340103
30, 361027
710, 287998
712, 375276
1059, 317003
65, 375990
144, 333227
1032, 454842
51, 342208
332, 439774
619, 377774
488, 297740
430, 503944
575, 426529
1087, 383439
873, 364504
719, 426990
758, 382908
749, 334398
773, 258728
261, 336421
190, 470358
449, 399942
688, 407125
799, 329385
961, 472279
393, 353825
339, 420465
903, 365889
151, 340025
418, 424934
565, 272967
377, 512528
1195, 311161
96, 401524
