seed, Total QALY
387, 281942
1186, 258606
114, 374881
457, 263891
696, 234237
1164, 220806
112, 436956
980, 274755
887, 323461
576, 246353
634, 276981
133, 211994
675, 336767
857, 300038
686, 311376
15, 336371
293, 352238
853, 232713
981, 237248
1028, 311134
849, 269948
161, 259723
32, 286534
615, 174832
739, 230597
1091, 280218
1008, 238572
863, 320808
1231, 268415
660, 300619
186, 313096
795, 285897
1100, 265600
316, 344682
706, 288948
1150, 394104
194, 358978
656, 257049
900, 273314
84, 451954
520, 262143
369, 377749
820, 234639
381, 270018
560, 320666
861, 349039
761, 378924
625, 310777
665, 312452
528, 282998
530, 300903
481, 302700
138, 255072
967, 352574
723, 220939
579, 322863
335, 319888
890, 305079
944, 323434
549, 241406
1175, 311924
359, 303450
817, 317843
731, 376623
178, 297839
11, 309307
852, 292365
1003, 371324
564, 269096
732, 324336
250, 238699
191, 305496
649, 314714
909, 281353
1083, 303530
368, 317169
1000, 247672
19, 303114
535, 249547
962, 276469
199, 347136
683, 221120
386, 350432
308, 494898
841, 273951
212, 257071
916, 269472
1228, 312957
1187, 235864
623, 294033
478, 249939
1049, 250319
824, 327789
871, 337241
1063, 314459
1194, 371649
694, 385071
1024, 311542
542, 334875
1050, 281433
262, 288996
195, 280363
600, 271662
966, 326669
37, 433632
544, 293872
714, 313281
498, 290012
883, 351045
193, 296972
608, 230560
197, 272847
771, 273930
808, 350261
48, 361003
1241, 311708
1174, 251255
1234, 268361
23, 246049
348, 339710
469, 259770
858, 288609
603, 238905
1237, 290441
1002, 376996
953, 316640
21, 348274
1181, 277615
707, 518016
496, 409886
1098, 349232
829, 267080
405, 272579
1204, 227943
31, 295452
646, 278311
928, 235869
253, 352024
289, 307328
154, 355225
830, 310728
1078, 222853
987, 316459
271, 242780
969, 334228
107, 245178
258, 505544
44, 340270
881, 210897
1025, 242659
86, 306808
574, 338165
594, 304687
223, 293535
1199, 266429
406, 364643
132, 308316
855, 331508
1211, 271751
839, 372735
636, 319070
746, 365021
859, 302720
417, 266553
819, 294031
537, 271531
1141, 315139
781, 242832
103, 309239
500, 288107
1075, 304376
506, 332541
1243, 312481
901, 309380
372, 217637
956, 289694
360, 297368
384, 362006
945, 251167
1205, 276617
524, 293120
885, 250565
1069, 314035
812, 306601
1, 244030
563, 293147
768, 245395
513, 283503
813, 282998
153, 338776
1184, 269040
1247, 254973
58, 412135
156, 298412
463, 316497
673, 304180
1202, 323428
1102, 345195
1185, 228331
421, 267548
1107, 249452
725, 283011
1048, 240619
767, 317289
835, 304537
577, 216368
678, 294348
1120, 292435
515, 306458
932, 306706
1088, 194808
477, 257510
1176, 259950
931, 256858
97, 250045
730, 279244
1245, 250010
172, 290472
751, 299878
1134, 275553
741, 288574
1135, 247216
1076, 305069
1016, 342496
677, 220663
689, 280973
298, 292577
180, 272273
176, 308625
572, 233809
75, 408241
785, 267295
1142, 336825
336, 270547
41, 486145
230, 232492
389, 346473
971, 340959
391, 342016
437, 324785
587, 239920
1012, 336795
1074, 288228
1224, 314666
585, 253822
460, 234955
345, 241080
215, 314534
736, 245830
137, 300124
668, 358338
433, 242033
260, 282842
561, 330085
748, 304931
617, 264904
762, 299462
491, 253650
1090, 299152
578, 338687
904, 289754
1035, 263671
801, 327081
787, 367630
898, 265948
267, 313728
976, 373151
580, 316501
487, 326208
1190, 321686
1079, 218468
803, 399381
1244, 316634
583, 277479
411, 297732
115, 350118
99, 242514
196, 267954
166, 321698
540, 260909
832, 229775
272, 348327
280, 293729
866, 342533
104, 312604
970, 259196
302, 335283
1222, 282915
206, 261887
20, 312329
275, 309711
672, 246617
999, 327538
67, 330258
