seed, Total QALY
387, 354938
1186, 357877
114, 469266
457, 326722
696, 318761
1164, 289702
112, 545738
980, 354693
887, 415335
576, 327406
634, 360926
133, 284354
675, 421236
857, 373867
686, 394576
15, 427484
293, 423219
853, 313825
981, 314994
1028, 386761
849, 349292
161, 355053
32, 365461
615, 241189
739, 286228
1091, 360236
1008, 320031
863, 388848
1231, 340533
660, 369007
186, 374193
795, 341816
1100, 305506
316, 430056
706, 347849
1150, 499512
194, 442094
656, 353590
900, 348205
84, 519378
520, 307926
369, 461277
820, 282251
381, 389743
560, 428274
861, 457897
761, 441131
625, 433443
665, 441789
528, 333017
530, 381479
481, 369442
138, 351598
967, 414111
723, 323247
579, 381415
335, 408451
890, 357830
944, 391727
549, 294313
1175, 400757
359, 394797
817, 417915
731, 497541
178, 381486
11, 404207
852, 398717
1003, 463039
564, 355076
732, 382761
250, 303973
191, 361707
649, 406241
909, 324537
1083, 411542
368, 430784
1000, 315483
19, 417951
535, 299941
962, 324595
199, 444686
683, 263436
386, 467480
308, 580947
841, 362659
212, 355707
916, 335041
1228, 380657
1187, 304703
623, 393306
478, 364413
1049, 345098
824, 412232
871, 423326
1063, 393137
1194, 488036
694, 509171
1024, 396327
542, 393875
1050, 366317
262, 408249
195, 374689
600, 328881
966, 428755
37, 551399
544, 358505
714, 392426
498, 334652
883, 457410
193, 368962
608, 260448
197, 371469
771, 326896
808, 408416
48, 459564
1241, 379855
1174, 337663
1234, 359093
23, 358526
348, 432007
469, 318178
858, 348973
603, 327787
1237, 423185
1002, 481640
953, 384400
21, 447048
1181, 374577
707, 601047
496, 544064
1098, 502319
829, 343020
405, 354467
1204, 329800
31, 358107
646, 352427
928, 283129
253, 436282
289, 396825
154, 436801
830, 436330
1078, 337066
987, 406400
271, 309207
969, 415048
107, 350659
258, 574563
44, 391894
881, 267013
1025, 309246
86, 367924
574, 390839
594, 383221
223, 392311
1199, 338586
406, 456593
132, 411140
855, 406603
1211, 358644
839, 440346
636, 407699
746, 439454
859, 382215
417, 365855
819, 370487
537, 342822
1141, 373418
781, 354100
103, 396451
500, 407144
1075, 386906
506, 415486
1243, 386303
901, 390213
372, 322388
956, 349019
360, 376031
384, 440545
945, 343885
1205, 366694
524, 408920
885, 311337
1069, 373239
812, 415982
1, 283330
563, 344705
768, 326919
513, 386313
813, 337975
153, 458352
1184, 358804
1247, 344685
58, 494095
156, 382712
463, 402078
673, 398958
1202, 388753
1102, 434791
1185, 275911
421, 329251
1107, 316894
725, 339816
1048, 305732
767, 397040
835, 372184
577, 273849
678, 380224
1120, 356298
515, 361866
932, 382486
1088, 252317
477, 307676
1176, 343136
931, 314640
97, 317032
730, 383919
1245, 312513
172, 352583
751, 368240
1134, 316413
741, 392503
1135, 363331
1076, 346228
1016, 479182
677, 285706
689, 341484
298, 361330
180, 345894
176, 377301
572, 297055
75, 459564
785, 341245
1142, 414974
336, 356388
41, 596030
230, 314288
389, 416709
971, 433459
391, 449630
437, 398113
587, 313766
1012, 440365
1074, 353150
1224, 384439
585, 330917
460, 286742
345, 324884
215, 398640
736, 296568
137, 377051
668, 481996
433, 290069
260, 399367
561, 431834
748, 367355
617, 308003
762, 349988
491, 304828
1090, 411705
578, 378278
904, 366734
1035, 321925
801, 410178
787, 412601
898, 363885
267, 437206
976, 443500
580, 404123
487, 400524
1190, 436951
1079, 273094
803, 457806
1244, 386303
583, 375552
411, 381905
115, 469342
99, 308807
196, 354772
166, 395024
540, 343600
832, 300896
272, 433178
280, 415050
866, 452707
104, 371587
970, 313932
302, 372694
1222, 348270
206, 312907
20, 374491
275, 417673
672, 316027
999, 459962
67, 426691
425, 312983
1151, 332026
856, 421812
480, 384029
72, 358361
1144, 350840
1053, 358940
121, 358375
105, 391003
34, 341587
399, 363712
440, 367910
523, 329327
435, 309266
201, 495518
778, 412919
998, 381504
1137, 430871
1239, 412759
729, 291718
453, 454125
753, 359078
828, 402436
451, 408678
211, 523236
836, 341023
582, 351842
1061, 408978
361, 422670
519, 401679
328, 424085
908, 492201
518, 331951
1039, 397321
126, 310342
713, 354534
601, 359946
511, 303621
942, 311405
394, 337351
862, 332052
1057, 312578
783, 411735
983, 444796
843, 350766
567, 266376
1149, 363425
450, 386264
366, 375264
534, 305573
108, 409394
244, 396429
46, 312146
311, 280556
464, 288621
922, 436708
77, 407984
130, 328248
2, 449079
155, 376663
894, 462381
949, 470251
22, 286441
592, 391555
268, 389736
984, 420947
461, 368840
647, 299455
148, 407100
1158, 467946
159, 396402
810, 383284
654, 412818
1027, 398917
1115, 347212
502, 368662
1223, 331401
414, 429829
684, 374739
354, 396445
877, 406823
110, 313800
357, 346209
494, 422304
233, 311962
329, 355234
851, 342094
286, 326965
614, 370030
274, 363973
371, 427228
62, 477734
217, 334244
400, 338698
306, 349168
442, 337642
681, 454845
1248, 418121
892, 311690
664, 372584
720, 391637
218, 414022
772, 394201
493, 477713
602, 446497
351, 399684
1148, 331354
134, 378008
860, 473759
1019, 355421
1160, 380137
28, 439593
1208, 276506
444, 382204
390, 460313
353, 364469
1192, 346869
794, 415657
745, 446509
456, 422527
722, 310767
988, 411761
1066, 384148
621, 265761
584, 307968
200, 301097
216, 387851
1161, 420743
209, 327140
676, 363650
93, 489903
1162, 373736
238, 425821
586, 348481
439, 324072
1191, 430347
1092, 507211
1084, 385822
1203, 410029
1055, 387063
738, 338741
618, 363468
162, 357290
543, 295371
744, 422197
259, 470372
505, 398501
699, 346684
119, 312176
54, 326290
222, 356025
669, 366260
192, 334744
896, 329217
816, 384341
173, 340078
30, 360873
710, 287718
712, 374875
1059, 316267
65, 375674
144, 332966
1032, 454304
51, 341911
332, 439245
619, 376989
488, 297427
430, 503538
575, 426184
1087, 383008
873, 364262
719, 426314
758, 382633
749, 333989
773, 258525
261, 336213
190, 469932
449, 399556
688, 406531
799, 329041
961, 472137
393, 353814
339, 419922
903, 365151
151, 339657
418, 424502
565, 272833
377, 512136
1195, 310391
96, 401129
